LoanID,CustomerID,BranchID,ProductID,DisbursementDate,LoanAmount,InterestRate,TermMonths,LoanStatus,OutstandingBalance
LN10039,C1446,B009,P02,7/11/2025,39889.03,19.61,84,Paid Off,0
LN10040,C1300,B005,P04,7/16/2024,22105.43,7.27,36,Active,16358
LN10041,C1066,B008,P06,7/3/2025,35991.08,9.82,48,Closed,0
LN10042,C1128,B006,P01,4/5/2024,13007.45,5.53,72,Active,7284
LN10043,C1232,B006,P03,4/21/2026,17796.54,9.3,120,Paid Off,0
LN10044,C1283,B008,P02,1/30/2025,72373.41,10.03,48,Active,31121
LN10045,C1153,B010,P02,2/13/2024,94020.08,19.77,72,Paid Off,0
LN10046,C1185,B005,P03,3/1/2024,34694.15,16.12,24,Active,29837
LN10047,C1171,B007,P02,4/3/2026,79991.55,14.74,60,Active,40796
LN10048,C1321,B002,P03,6/10/2025,70656.72,11.43,12,Active,36741
LN10049,C1152,B008,P02,6/12/2024,91961.68,5.28,36,Active,34026
LN10050,C1203,B010,P03,2/4/2025,13355.77,5.41,60,Paid Off,0
LN10051,C1432,B008,P01,6/2/2024,26472.27,6.83,36,Active,20119
LN10052,C1047,B003,P05,2/29/2024,27534.16,15.36,240,Active,12115
LN10053,C1148,B002,P03,7/13/2025,81071.1,5.81,240,Active,71343
LN10054,C1172,B003,P04,9/14/2025,81096.42,4.23,84,Closed,0
LN10055,C1326,B004,P02,4/11/2025,2322.38,15.92,72,Active,859
LN10056,C1080,B005,P05,9/18/2024,98832.44,4.25,360,Active,63253
LN10057,C1130,B010,P02,9/5/2024,61929.28,7.19,36,Active,50782
LN10058,C1133,B008,P03,7/20/2024,59969.97,4.82,180,Closed,0
LN10059,C1298,B007,P04,1/24/2025,36284.76,11.53,360,Active,26851
LN10060,C1358,B002,P02,9/21/2025,26084.5,12.8,60,Active,10173
LN10061,C1305,B009,P06,1/19/2026,55247.22,21.13,48,Paid Off,0
LN10062,C1124,B006,P06,4/3/2025,84459.04,15.51,360,Active,34628
LN10063,C1343,B006,P02,7/14/2025,26938.3,16.44,48,Closed,0
LN10064,C1068,B005,P01,2/4/2026,87202.35,20.76,240,Active,72378
LN10065,C1364,B004,P02,5/29/2025,62733.66,4.18,48,Paid Off,0
LN10066,C1252,B003,P06,4/1/2026,51948.65,4.47,360,Active,27533
LN10067,C1241,B007,P06,5/24/2026,21246.12,8.4,84,Active,8711
LN10068,C1349,B009,P04,3/25/2024,18136.26,12.78,48,Active,15234
LN10069,C1203,B005,P04,11/18/2024,79143.99,10.76,360,Closed,0
LN10070,C1081,B008,P04,9/26/2025,52903.87,17.28,120,Active,29626
LN10071,C1221,B005,P02,9/5/2025,50907.44,13.08,180,Closed,0
LN10072,C1344,B006,P05,3/2/2024,20702.85,9.12,360,Active,18219
LN10073,C1460,B001,P01,7/24/2025,39648.81,17.97,36,Active,16653
LN10074,C1033,B005,P01,8/31/2025,48872.77,12.17,120,Closed,0
LN10075,C1103,B004,P06,3/22/2026,16373.1,18.27,12,Active,10315
LN10076,C1122,B004,P04,5/22/2026,94186.95,5.36,12,Active,79117
LN10077,C1015,B007,P04,4/5/2024,95402.1,11.55,72,Closed,0
LN10078,C1390,B004,P03,2/12/2025,91181.71,21.63,360,Closed,0
LN10079,C1479,B009,P06,3/20/2026,20818.88,8.59,60,Active,15406
LN10080,C1007,B004,P02,8/13/2025,79885.78,12.97,48,Active,55121
LN10081,C1310,B005,P06,5/11/2025,90494.58,4.26,180,Closed,0
LN10082,C1170,B005,P04,4/13/2026,53966.16,19.65,24,Active,36157
LN10083,C1182,B007,P05,1/21/2024,1656.38,11.49,180,Active,729
LN10084,C1442,B002,P02,4/26/2024,99619.21,14.51,84,Active,56783
LN10085,C1317,B001,P02,5/9/2026,58679.72,17.9,360,Active,51638
LN10086,C1472,B005,P05,4/18/2025,30162.11,13.56,72,Active,10557
LN10087,C1171,B010,P05,5/27/2025,77175.82,7.69,36,Active,60197
LN10088,C1471,B007,P01,8/11/2024,35051.26,14.8,60,Paid Off,0
LN10089,C1138,B002,P05,8/5/2025,1513.0,18.5,12,Closed,0
LN10090,C1066,B002,P05,9/21/2025,24710.3,7.02,36,Closed,0
LN10091,C1335,B003,P06,3/14/2024,61356.35,9.22,180,Active,25770
LN10092,C1031,B009,P01,3/24/2024,72823.94,19.98,84,Closed,0
LN10093,C1045,B007,P04,11/27/2024,58715.43,12.59,84,Active,50495
LN10094,C1426,B010,P05,3/30/2026,95579.48,10.75,12,Active,64994
LN10095,C1334,B007,P03,9/28/2024,97072.03,17.69,48,Closed,0
LN10096,C1466,B004,P06,10/30/2024,8734.9,6.1,84,Active,4804
LN10097,C1245,B001,P01,5/7/2026,81121.04,8.62,24,Active,48673
LN10098,C1368,B004,P05,1/21/2025,75150.71,12.62,120,Paid Off,0
LN10099,C1441,B010,P01,4/17/2024,90036.75,15.82,180,Active,58524
LN10100,C1387,B002,P04,9/13/2025,89410.97,4.29,12,Active,73317
LN10101,C1020,B010,P01,10/20/2025,19707.22,20.98,180,Closed,0
LN10102,C1329,B005,P01,4/27/2025,2807.25,8.16,60,Active,2021
LN10103,C1239,B001,P03,3/18/2026,6048.16,7.34,180,Active,4959
LN10104,C1143,B007,P02,6/3/2024,18018.5,18.47,84,Closed,0
LN10105,C1259,B009,P02,1/26/2025,44431.58,6.34,48,Closed,0
LN10106,C1134,B007,P02,8/10/2024,19637.75,7.01,240,Paid Off,0
LN10107,C1358,B009,P05,8/9/2025,21935.22,20.69,36,Closed,0
LN10108,C1279,B005,P02,1/8/2025,56288.75,16.01,60,Active,41654
LN10109,C1088,B010,P03,3/18/2024,17378.43,7.64,180,Active,10948
LN10110,C1094,B010,P06,7/13/2025,33537.51,7.84,360,Active,30184
LN10111,C1367,B010,P02,12/4/2025,98717.79,11.95,36,Active,65154
LN10112,C1371,B005,P04,11/26/2024,13614.37,20.96,84,Active,7488
LN10113,C1148,B010,P03,9/15/2024,63219.72,18.53,24,Active,26552
LN10114,C1118,B010,P01,4/25/2024,21079.74,12.72,72,Active,18550
LN10115,C1291,B009,P02,10/17/2025,69864.71,9.62,180,Active,31439
LN10116,C1424,B005,P04,6/14/2026,43830.33,5.32,180,Active,38132
LN10117,C1464,B010,P05,6/22/2024,5778.99,11.17,60,Paid Off,0
LN10118,C1497,B007,P03,4/4/2024,21445.1,10.82,180,Closed,0
LN10119,C1356,B003,P06,2/9/2026,53441.93,10.58,48,Active,29927
LN10120,C1085,B009,P02,10/11/2025,1214.28,6.32,120,Closed,0
LN10121,C1230,B008,P02,10/23/2024,15394.26,11.67,84,Active,5388
LN10122,C1381,B005,P03,7/19/2025,18560.07,7.32,360,Active,7610
LN10123,C1081,B006,P03,4/4/2026,81934.64,12.7,12,Closed,0
LN10124,C1314,B009,P03,3/19/2026,83536.67,20.16,84,Closed,0
LN10125,C1040,B008,P04,11/24/2024,58095.11,5.68,84,Active,32533
LN10126,C1147,B002,P05,4/11/2024,91220.25,21.5,72,Closed,0
LN10127,C1038,B007,P03,7/26/2025,41524.87,16.34,12,Closed,0
LN10128,C1004,B007,P05,9/10/2025,89016.68,8.18,24,Active,51630
LN10129,C1406,B004,P02,1/11/2024,21312.06,19.57,12,Active,11509
LN10130,C1278,B007,P01,4/28/2026,56919.32,4.46,36,Active,40982
LN10131,C1173,B002,P05,8/14/2024,98006.1,6.13,48,Active,70564
LN10132,C1015,B002,P05,6/28/2024,75920.33,20.54,120,Active,56181
LN10133,C1471,B006,P01,7/4/2024,7343.21,17.89,48,Closed,0
LN10134,C1495,B005,P01,7/26/2025,6233.97,12.46,24,Active,4738
LN10135,C1402,B009,P04,4/19/2025,9861.57,12.92,36,Active,9368
LN10136,C1098,B003,P04,3/7/2024,2719.7,10.97,60,Active,1659
LN10137,C1102,B002,P06,12/29/2025,91872.75,11.2,180,Active,80848
LN10138,C1405,B008,P03,7/23/2024,16325.58,21.47,72,Active,11428
LN10139,C1349,B008,P02,12/12/2025,72213.59,12.47,360,Active,51994
LN10140,C1403,B010,P02,1/1/2024,47755.28,7.12,12,Paid Off,0
LN10141,C1028,B009,P05,6/18/2024,49154.09,11.7,180,Active,25069
LN10142,C1227,B008,P06,7/15/2024,77646.22,5.33,48,Active,38047
LN10143,C1229,B009,P02,12/30/2024,51717.19,16.9,48,Active,30513
LN10144,C1358,B009,P03,3/21/2026,62545.33,6.07,48,Active,59418
LN10145,C1377,B003,P05,1/2/2025,91419.06,15.18,72,Active,47538
LN10146,C1218,B010,P01,1/31/2026,96498.14,19.48,48,Active,34739
LN10147,C1437,B010,P05,5/9/2026,31148.16,12.45,180,Paid Off,0
LN10148,C1141,B002,P01,10/29/2024,84132.82,21.87,120,Active,71513
LN10149,C1409,B007,P04,10/23/2024,31058.45,8.21,48,Paid Off,0
LN10150,C1013,B010,P02,6/21/2025,76269.89,13.44,240,Active,61016
LN10151,C1327,B008,P06,5/14/2024,5559.44,13.1,360,Active,4225
LN10152,C1258,B006,P03,3/16/2026,66134.59,12.6,72,Active,31083
LN10153,C1378,B007,P05,1/28/2025,96358.4,14.15,240,Active,67451
LN10154,C1307,B003,P05,8/6/2024,31349.93,7.77,360,Active,27901
LN10155,C1044,B005,P03,5/14/2025,91767.85,14.43,60,Active,62402
LN10156,C1290,B010,P01,5/15/2026,70879.29,11.44,72,Paid Off,0
LN10157,C1460,B010,P03,6/26/2024,91984.0,5.88,84,Closed,0
LN10158,C1185,B005,P06,3/18/2026,69311.42,9.02,120,Closed,0
LN10159,C1470,B002,P06,5/27/2026,80932.62,16.0,12,Active,51797
LN10160,C1323,B004,P02,2/22/2024,43898.62,13.32,24,Active,41704
LN10161,C1337,B008,P04,5/4/2024,99067.24,15.89,180,Active,37646
LN10162,C1269,B002,P02,12/13/2025,34976.1,7.82,36,Active,23084
LN10163,C1436,B003,P03,1/19/2025,74361.83,4.8,84,Paid Off,0
LN10164,C1365,B008,P01,6/8/2024,53070.65,16.28,84,Closed,0
LN10165,C1003,B006,P05,3/9/2026,74889.55,20.96,360,Active,35198
LN10166,C1024,B003,P02,11/7/2024,61298.29,13.42,36,Active,44135
LN10167,C1131,B008,P02,12/18/2025,9133.86,7.77,360,Active,6028
LN10168,C1179,B004,P06,8/7/2025,67169.05,7.49,24,Active,63139
LN10169,C1134,B008,P06,3/16/2026,49691.6,4.99,120,Active,41741
LN10170,C1381,B005,P05,12/2/2025,6240.34,10.38,24,Active,4431
LN10171,C1312,B003,P02,9/16/2024,61009.17,5.54,84,Closed,0
LN10172,C1198,B010,P06,4/6/2025,91907.86,12.3,48,Closed,0
LN10173,C1343,B009,P06,10/8/2025,32340.16,13.32,36,Active,14876
LN10174,C1167,B010,P03,12/16/2025,79287.1,9.05,120,Active,30922
LN10175,C1062,B008,P04,9/2/2024,72372.91,16.35,60,Paid Off,0
LN10176,C1201,B007,P03,11/3/2024,72567.76,21.49,60,Closed,0
LN10177,C1160,B002,P03,2/3/2026,67671.7,19.2,12,Closed,0
LN10178,C1019,B002,P05,3/3/2026,75592.75,19.57,36,Closed,0
LN10179,C1407,B010,P06,6/19/2024,29408.28,11.4,12,Active,25291
LN10180,C1451,B001,P03,3/4/2024,15822.76,13.4,84,Active,8544
LN10181,C1283,B008,P03,6/7/2026,46269.99,10.86,36,Active,30075
LN10182,C1228,B002,P03,1/17/2026,97441.26,17.57,120,Closed,0
LN10183,C1404,B009,P03,5/24/2026,25593.01,13.17,60,Active,11005
LN10184,C1425,B008,P04,7/28/2024,74761.53,16.83,84,Active,26167
LN10185,C1293,B001,P01,3/18/2024,79006.64,8.82,36,Active,38713
LN10186,C1388,B006,P02,1/27/2026,70574.07,9.43,72,Active,35287
LN10187,C1092,B004,P02,1/10/2025,62549.74,7.77,60,Active,58171
LN10188,C1062,B004,P03,2/11/2025,57123.31,21.42,120,Active,52553
LN10189,C1052,B002,P01,4/22/2024,98361.46,12.24,36,Closed,0
LN10190,C1014,B002,P02,6/20/2024,2276.06,11.3,12,Active,1161
LN10191,C1034,B005,P05,5/23/2026,12862.76,18.08,120,Closed,0
LN10192,C1294,B009,P03,2/2/2025,13884.47,13.93,180,Active,6803
LN10193,C1361,B006,P02,10/10/2024,21953.06,8.69,60,Paid Off,0
LN10194,C1063,B002,P04,2/17/2024,19462.95,11.36,36,Closed,0
LN10195,C1257,B002,P01,12/17/2025,3988.65,14.92,24,Active,3590
LN10196,C1477,B004,P02,4/1/2025,59180.5,20.78,48,Active,34325
LN10197,C1231,B002,P01,3/3/2026,45193.82,7.01,24,Closed,0
LN10198,C1136,B006,P02,1/29/2026,84967.42,16.91,72,Active,47582
LN10199,C1156,B001,P01,11/16/2025,11970.56,19.7,84,Active,7661
LN10200,C1048,B009,P06,5/13/2024,84341.06,11.54,360,Active,74220
LN10201,C1460,B003,P02,6/8/2025,77898.68,5.89,360,Paid Off,0
LN10202,C1144,B008,P05,1/12/2024,10932.93,7.32,360,Active,7216
LN10203,C1241,B006,P02,5/26/2024,86387.38,21.74,24,Closed,0
LN10204,C1288,B007,P06,12/18/2025,1310.57,19.38,84,Active,695
LN10205,C1301,B005,P03,8/31/2024,21414.29,6.74,180,Active,20344
LN10206,C1098,B001,P05,7/4/2025,54273.17,16.88,120,Active,45047
LN10207,C1456,B004,P04,10/19/2024,40258.31,5.53,36,Active,18921
LN10208,C1192,B006,P04,3/28/2024,94196.53,10.19,360,Active,76299
LN10209,C1005,B001,P02,4/18/2024,32402.75,21.45,12,Closed,0
LN10210,C1066,B001,P04,1/31/2025,51230.75,7.92,12,Active,31251
LN10211,C1341,B002,P04,12/1/2025,44447.11,12.72,48,Closed,0
LN10212,C1358,B007,P03,12/14/2024,77594.0,9.49,24,Paid Off,0
LN10213,C1182,B010,P05,10/5/2024,18548.1,9.41,72,Active,15951
LN10214,C1192,B005,P06,9/11/2024,50865.1,6.3,24,Active,34588
LN10215,C1132,B006,P05,3/16/2025,90550.07,17.4,360,Active,84212
LN10216,C1323,B008,P03,10/7/2024,40985.53,4.66,48,Active,34428
LN10217,C1120,B002,P05,5/1/2026,37233.15,20.79,240,Active,15638
LN10218,C1438,B003,P02,7/26/2025,35134.46,21.27,72,Active,12648
LN10219,C1376,B009,P01,5/6/2024,11463.47,4.43,84,Active,6649
LN10220,C1005,B008,P06,8/7/2025,33120.5,17.42,36,Active,20866
LN10221,C1102,B002,P01,4/27/2024,62788.91,17.44,48,Active,55882
LN10222,C1458,B008,P04,7/31/2024,81081.59,4.26,24,Closed,0
LN10223,C1358,B002,P05,2/21/2025,93446.05,16.45,360,Closed,0
LN10224,C1245,B006,P03,4/2/2025,71615.95,17.34,84,Active,52996
LN10225,C1051,B002,P02,10/26/2025,91754.64,10.97,72,Active,61476
LN10226,C1133,B010,P05,7/9/2025,22779.48,16.73,36,Closed,0
LN10227,C1486,B002,P01,6/10/2026,78159.45,20.06,12,Active,64872
LN10228,C1037,B006,P01,8/22/2025,61968.13,8.91,180,Active,24787
LN10229,C1411,B001,P03,2/12/2024,13978.32,13.07,36,Active,12021
LN10230,C1385,B003,P06,6/9/2026,76839.75,17.21,240,Closed,0
LN10231,C1291,B001,P03,12/24/2024,82892.39,7.32,72,Active,43933
LN10232,C1064,B001,P01,1/11/2024,11898.66,9.35,24,Closed,0
LN10233,C1101,B007,P03,5/2/2026,86104.18,15.53,120,Closed,0
LN10234,C1001,B006,P04,11/12/2025,53442.25,17.25,24,Active,39013
LN10235,C1224,B009,P03,4/15/2026,57339.75,20.35,60,Active,25229
LN10236,C1234,B007,P06,9/1/2024,56665.22,4.71,12,Active,38532
LN10237,C1478,B008,P02,4/26/2025,26849.52,10.47,120,Active,21211
LN10238,C1137,B006,P05,11/17/2025,84465.46,10.74,72,Active,66728
LN10239,C1120,B006,P06,4/4/2024,25795.66,11.96,120,Active,12640
LN10240,C1416,B001,P06,1/20/2026,67952.39,17.26,72,Active,44849
LN10241,C1469,B010,P01,6/27/2024,74462.57,15.07,180,Active,36487
LN10242,C1243,B006,P03,9/23/2025,65152.29,9.6,60,Active,47561
LN10243,C1486,B004,P01,6/17/2025,42283.99,12.05,120,Closed,0
LN10244,C1470,B008,P02,1/28/2026,23087.46,19.49,240,Active,19624
LN10245,C1228,B008,P02,5/14/2024,53089.57,7.0,24,Active,39286
LN10246,C1478,B005,P04,12/29/2024,61551.58,8.38,24,Active,25852
LN10247,C1026,B010,P06,12/24/2025,24559.09,7.72,180,Paid Off,0
LN10248,C1472,B001,P05,6/9/2026,2642.6,8.75,48,Active,1982
LN10249,C1005,B005,P01,1/28/2024,67185.58,9.6,180,Active,49045
LN10250,C1271,B005,P01,1/24/2025,99163.08,15.6,72,Closed,0
LN10251,C1088,B010,P02,7/25/2024,82031.22,20.7,120,Paid Off,0
LN10252,C1253,B010,P03,11/2/2025,87844.01,12.51,48,Active,69397
LN10253,C1414,B003,P06,11/30/2025,96752.42,13.67,72,Active,69662
LN10254,C1311,B001,P06,3/1/2026,59640.39,10.92,60,Paid Off,0
LN10255,C1186,B007,P04,3/12/2026,11450.26,15.14,240,Active,7786
LN10256,C1360,B002,P05,10/10/2024,87532.66,10.53,72,Active,60398
LN10257,C1186,B002,P02,11/20/2024,39394.54,7.87,240,Closed,0
LN10258,C1132,B001,P05,12/31/2024,90217.46,12.15,180,Active,80294
LN10259,C1381,B008,P03,5/16/2026,65853.94,20.81,36,Active,38195
LN10260,C1301,B002,P02,2/13/2024,2275.49,15.97,60,Active,887
LN10261,C1102,B008,P04,3/22/2025,54005.32,16.25,48,Closed,0
LN10262,C1130,B001,P05,8/29/2025,22977.43,17.08,180,Closed,0
LN10263,C1160,B006,P05,2/8/2024,16440.38,16.02,36,Active,14468
LN10264,C1072,B009,P03,7/9/2025,96437.79,11.87,12,Active,64613
LN10265,C1053,B007,P04,3/3/2024,64986.55,18.07,48,Active,29894
LN10266,C1171,B002,P04,1/16/2026,7792.19,19.82,72,Active,5455
LN10267,C1112,B001,P04,6/13/2024,81746.93,19.86,48,Active,55588
LN10268,C1080,B008,P03,5/19/2025,57527.08,8.94,84,Paid Off,0
LN10269,C1173,B006,P02,5/5/2025,71249.6,14.78,12,Active,66975
LN10270,C1243,B003,P03,10/1/2024,27600.11,10.86,36,Active,21252
LN10271,C1375,B007,P04,5/17/2025,47233.47,17.85,48,Closed,0
LN10272,C1220,B006,P01,3/27/2025,47791.55,17.3,72,Active,18161
LN10273,C1128,B008,P03,6/22/2024,30623.36,8.05,72,Active,23580
LN10274,C1306,B009,P04,11/4/2025,95340.59,7.27,12,Active,60065
LN10275,C1195,B008,P01,1/17/2026,54705.0,6.19,60,Active,41029
LN10276,C1292,B006,P02,9/26/2025,62454.11,13.69,48,Active,36223
LN10277,C1246,B001,P02,8/8/2025,65475.02,18.09,24,Active,37976
LN10278,C1414,B009,P03,12/28/2025,37704.46,9.35,360,Paid Off,0
LN10279,C1185,B005,P02,3/16/2025,54695.66,16.02,72,Active,35005
LN10280,C1001,B006,P04,2/14/2025,40031.28,16.42,240,Active,28422
LN10281,C1449,B008,P05,3/23/2025,3181.79,20.56,24,Active,1623
LN10282,C1476,B004,P03,1/27/2026,18925.7,13.41,48,Active,10598
LN10283,C1103,B005,P01,11/27/2025,43809.65,8.77,84,Closed,0
LN10284,C1199,B010,P01,1/5/2026,9123.87,17.58,72,Active,6843
LN10285,C1293,B004,P05,10/22/2024,17699.87,18.76,36,Closed,0
LN10286,C1263,B008,P03,1/7/2026,65923.56,17.23,60,Active,47465
LN10287,C1171,B006,P04,9/4/2024,8183.76,8.46,240,Closed,0
LN10288,C1324,B001,P01,11/23/2024,16707.23,9.09,24,Active,7017
LN10289,C1136,B002,P02,9/20/2025,65750.59,20.66,120,Paid Off,0
LN10290,C1067,B009,P06,11/16/2025,20724.95,18.99,72,Paid Off,0
LN10291,C1244,B001,P05,2/24/2024,40282.0,14.6,84,Active,20544
LN10292,C1023,B002,P05,6/4/2025,51413.21,16.54,360,Active,38560
LN10293,C1036,B009,P03,12/22/2025,78824.13,17.03,360,Active,48083
LN10294,C1409,B009,P05,3/14/2026,82975.96,12.15,24,Closed,0
LN10295,C1169,B009,P03,5/19/2025,96431.69,14.47,36,Active,81967
LN10296,C1169,B001,P04,2/9/2025,51882.94,7.36,84,Closed,0
LN10297,C1039,B006,P01,2/26/2024,29024.43,4.95,60,Active,26702
LN10298,C1067,B003,P03,8/31/2025,70937.64,19.59,60,Active,51075
LN10299,C1215,B008,P03,7/16/2024,99550.79,6.39,180,Active,83623
LN10300,C1324,B003,P03,12/31/2025,59859.17,6.67,48,Closed,0
LN10301,C1458,B006,P01,4/2/2024,47096.67,5.48,84,Active,40503
LN10302,C1328,B005,P01,2/7/2025,17477.02,15.29,360,Active,11011
LN10303,C1300,B010,P05,11/16/2024,90229.43,11.23,72,Closed,0
LN10304,C1032,B008,P01,10/20/2024,21789.89,15.49,240,Closed,0
LN10305,C1029,B002,P06,3/8/2025,78788.16,12.86,180,Active,60667
LN10306,C1324,B001,P02,8/8/2024,11326.51,9.48,48,Paid Off,0
LN10307,C1208,B004,P05,8/11/2025,5644.56,18.55,60,Active,4008
LN10308,C1419,B002,P02,3/10/2026,40353.67,20.32,24,Paid Off,0
LN10309,C1029,B005,P03,9/4/2025,22917.07,19.63,60,Active,13521
LN10310,C1345,B003,P06,1/22/2024,18385.81,21.67,72,Active,11215
LN10311,C1193,B006,P01,3/20/2024,29162.03,4.8,60,Closed,0
LN10312,C1273,B009,P01,9/25/2024,92040.52,17.53,84,Closed,0
LN10313,C1063,B009,P06,11/3/2025,72560.31,4.97,120,Closed,0
LN10314,C1027,B003,P04,9/1/2024,5676.61,7.89,72,Active,4144
LN10315,C1044,B007,P03,10/26/2024,67159.83,13.05,120,Active,63130
LN10316,C1183,B010,P04,3/12/2025,21435.99,16.58,240,Paid Off,0
LN10317,C1436,B002,P03,10/30/2025,76141.94,19.86,72,Active,54822
LN10318,C1492,B010,P04,6/5/2025,60641.8,8.52,180,Active,56397
LN10319,C1214,B008,P03,4/15/2025,41681.2,16.59,72,Paid Off,0
LN10320,C1104,B006,P04,5/13/2026,76694.03,11.09,36,Active,33745
LN10321,C1347,B009,P05,7/12/2024,54102.16,11.2,36,Active,49233
LN10322,C1118,B001,P03,8/3/2024,76537.22,13.68,360,Active,67353
LN10323,C1046,B006,P02,4/14/2024,69339.55,18.96,72,Active,56858
LN10324,C1306,B005,P01,11/27/2024,26189.67,5.95,84,Closed,0
LN10325,C1465,B006,P04,2/15/2024,39425.27,12.08,36,Active,25626
LN10326,C1086,B003,P01,1/29/2024,2552.09,20.66,240,Active,1531
LN10327,C1031,B008,P02,6/19/2024,16727.92,5.54,48,Active,7862
LN10328,C1119,B007,P05,3/11/2025,11287.5,11.41,48,Active,5531
LN10329,C1356,B010,P04,6/15/2025,12265.18,6.58,120,Active,8463
LN10330,C1264,B005,P03,1/21/2026,81619.12,6.96,120,Closed,0
LN10331,C1020,B010,P01,8/20/2025,65117.51,17.2,24,Active,37768
LN10332,C1239,B009,P03,5/14/2025,48592.75,4.71,60,Closed,0
LN10333,C1293,B001,P05,3/28/2024,86505.42,8.5,120,Active,70934
LN10334,C1268,B006,P04,11/1/2025,8719.05,13.24,60,Active,8196
LN10335,C1155,B005,P04,6/19/2025,28166.63,18.8,48,Active,23097
LN10336,C1403,B004,P02,10/7/2024,1833.73,13.75,120,Active,1595
LN10337,C1009,B007,P06,5/11/2024,12125.32,12.41,24,Active,8003
LN10338,C1133,B005,P02,3/12/2024,92397.35,17.84,180,Active,78538
LN10339,C1150,B005,P03,11/13/2025,72006.79,8.58,360,Closed,0
LN10340,C1270,B003,P04,12/10/2025,8456.24,9.98,72,Active,4144
LN10341,C1295,B010,P04,6/24/2024,10791.29,11.67,180,Closed,0
LN10342,C1193,B001,P03,2/6/2025,23941.09,17.09,48,Active,11971
LN10343,C1185,B003,P06,12/22/2024,14039.12,9.97,180,Closed,0
LN10344,C1177,B001,P02,1/24/2026,68099.27,18.81,84,Active,23835
LN10345,C1293,B005,P04,11/1/2024,80503.05,4.8,36,Paid Off,0
LN10346,C1049,B001,P03,4/25/2026,73025.54,14.29,72,Active,51118
LN10347,C1060,B005,P02,11/14/2025,89609.83,19.75,360,Active,77961
LN10348,C1065,B010,P06,5/21/2024,79824.28,6.14,36,Paid Off,0
LN10349,C1002,B009,P01,8/30/2024,95823.31,13.44,72,Active,62285
LN10350,C1447,B009,P02,7/26/2024,15188.57,10.69,360,Closed,0
LN10351,C1382,B004,P04,8/25/2025,28750.1,11.48,84,Closed,0
LN10352,C1281,B002,P03,5/2/2024,96437.21,5.1,48,Active,39539
LN10353,C1355,B003,P05,3/28/2026,86468.12,4.93,24,Active,71769
LN10354,C1345,B005,P06,9/13/2024,53380.17,14.51,48,Active,48042
