CustomerID,Age,Income,EmploymentType,CreditScore,CreditScoreBand
C1138,21,130988,Business Owner,633,600-649
C1139,53,426760,Student,819,750+
C1140,24,280983,Retired,706,700-749
C1141,69,382458,Contractor,764,750+
C1142,41,431184,Salaried,608,600-649
C1143,60,383116,Self-Employed,561,Below 600
C1144,35,120077,Retired,816,750+
C1145,50,170454,Contractor,730,700-749
C1146,25,136526,Business Owner,756,750+
C1147,46,445875,Self-Employed,769,750+
C1148,31,175514,Student,753,750+
C1149,35,83323,Contractor,806,750+
C1150,65,369250,Business Owner,751,750+
C1151,57,446995,Self-Employed,645,600-649
C1152,46,172046,Contractor,713,700-749
C1153,25,303322,Contractor,760,750+
C1154,26,151858,Self-Employed,819,750+
C1155,67,71618,Retired,791,750+
C1156,43,72645,Salaried,769,750+
C1157,55,459468,Retired,806,750+
C1158,25,270253,Retired,570,Below 600
C1159,39,251057,Contractor,581,Below 600
C1160,62,234541,Salaried,609,600-649
C1161,61,131629,Retired,805,750+
C1162,67,183490,Retired,769,750+
C1163,38,231444,Business Owner,807,750+
C1164,54,219835,Salaried,635,600-649
C1165,21,122074,Student,714,700-749
C1166,64,322505,Self-Employed,751,750+
C1167,44,415848,Self-Employed,620,600-649
C1168,60,437457,Contractor,727,700-749
C1169,55,410368,Contractor,773,750+
C1170,27,25634,Student,769,750+
C1171,66,176291,Student,700,700-749
C1172,58,44814,Retired,586,Below 600
C1173,21,41210,Contractor,653,650-699
C1174,26,197643,Self-Employed,806,750+
C1175,65,233495,Self-Employed,694,650-699
C1176,65,391166,Retired,638,600-649
C1177,44,429381,Contractor,750,750+
C1178,70,215808,Contractor,588,Below 600
C1179,61,130464,Self-Employed,561,Below 600
C1180,44,94113,Student,736,700-749
C1181,46,162980,Retired,583,Below 600
C1182,36,482260,Student,723,700-749
C1183,65,278748,Salaried,766,750+
C1184,22,50476,Salaried,644,600-649
C1185,66,146802,Student,598,Below 600
C1186,54,445134,Self-Employed,660,650-699
C1187,65,284589,Contractor,775,750+
C1188,50,57508,Self-Employed,689,650-699
C1189,67,393472,Retired,761,750+
C1190,37,141944,Salaried,685,650-699
C1191,24,322639,Student,604,600-649
C1192,48,421085,Salaried,749,700-749
C1193,34,271167,Student,727,700-749
C1194,47,97072,Contractor,589,Below 600
C1195,58,294926,Self-Employed,792,750+
C1196,54,147493,Retired,764,750+
C1197,27,167387,Self-Employed,788,750+
C1198,41,434857,Salaried,675,650-699
C1199,35,475053,Salaried,764,750+
C1200,21,386545,Contractor,650,650-699
C1201,63,228043,Self-Employed,715,700-749
C1202,65,251046,Retired,784,750+
C1203,69,399133,Business Owner,620,600-649
C1204,25,81171,Retired,715,700-749
C1205,61,175224,Salaried,597,Below 600
C1206,23,485168,Salaried,623,600-649
C1207,44,347345,Self-Employed,646,600-649
C1208,30,56720,Self-Employed,572,Below 600
C1209,50,484269,Retired,687,650-699
C1210,30,137039,Contractor,680,650-699
C1211,59,281546,Contractor,707,700-749
C1212,68,250563,Self-Employed,685,650-699
C1213,58,351832,Salaried,600,600-649
C1214,69,257883,Retired,677,650-699
C1215,43,304772,Business Owner,695,650-699
C1216,42,172140,Retired,740,700-749
C1217,62,465643,Contractor,811,750+
C1218,65,174568,Student,811,750+
C1219,69,196033,Student,725,700-749
C1220,28,90687,Self-Employed,573,Below 600
C1221,49,82783,Self-Employed,640,600-649
C1222,46,301552,Contractor,743,700-749
C1223,67,497508,Retired,641,600-649
C1224,68,276779,Student,726,700-749
C1225,45,313789,Student,606,600-649
C1226,36,68683,Contractor,720,700-749
C1227,30,159706,Retired,804,750+
C1228,45,304653,Self-Employed,575,Below 600
C1229,40,438731,Self-Employed,641,600-649
C1230,60,308286,Self-Employed,734,700-749
C1231,45,76451,Retired,638,600-649
C1232,34,275033,Business Owner,726,700-749
C1233,41,162218,Contractor,771,750+
C1234,24,388341,Retired,596,Below 600
C1235,70,490761,Student,617,600-649
C1236,35,104125,Salaried,770,750+
C1237,33,117629,Retired,681,650-699
C1238,35,172991,Business Owner,629,600-649
C1239,58,240924,Salaried,614,600-649
C1240,58,477364,Contractor,568,Below 600
C1241,30,110889,Self-Employed,808,750+
C1242,38,101086,Retired,801,750+
C1243,24,351292,Salaried,579,Below 600
C1244,45,117518,Business Owner,795,750+
C1245,64,227091,Contractor,753,750+
C1246,64,247331,Salaried,740,700-749
C1247,46,109826,Contractor,737,700-749
C1248,63,118510,Self-Employed,797,750+
C1249,22,374005,Student,665,650-699
C1250,21,258355,Self-Employed,808,750+
C1251,67,241489,Self-Employed,642,600-649
C1252,58,366600,Self-Employed,779,750+
C1253,54,168523,Salaried,702,700-749
C1254,68,204479,Self-Employed,719,700-749
C1255,44,136708,Student,771,750+
C1256,24,300087,Student,681,650-699
C1257,66,296267,Self-Employed,580,Below 600
C1258,28,402364,Student,754,750+
C1259,41,495195,Self-Employed,761,750+
C1260,51,437445,Business Owner,737,700-749
C1261,45,409713,Student,792,750+
C1262,68,490718,Self-Employed,783,750+
C1263,67,444681,Self-Employed,677,650-699
C1264,28,236232,Self-Employed,655,650-699
C1265,45,305056,Business Owner,757,750+
C1266,27,54897,Self-Employed,606,600-649
C1267,26,44239,Contractor,755,750+
C1268,39,467238,Self-Employed,748,700-749
C1269,65,90508,Contractor,741,700-749
C1270,34,465458,Student,598,Below 600
C1271,68,126956,Retired,745,700-749
C1272,65,96591,Student,655,650-699
C1273,24,268568,Contractor,748,700-749
C1274,55,78548,Retired,773,750+
C1275,67,322520,Salaried,629,600-649
C1276,48,105257,Business Owner,681,650-699
C1277,59,95499,Salaried,815,750+
C1278,22,54591,Self-Employed,666,650-699
C1279,36,398951,Salaried,721,700-749
C1280,44,71454,Business Owner,689,650-699
C1281,42,219204,Salaried,660,650-699
C1282,55,166977,Retired,729,700-749
C1283,21,76295,Student,725,700-749
C1284,25,179483,Retired,718,700-749
C1285,40,262335,Self-Employed,804,750+
C1286,55,320611,Student,663,650-699
C1287,66,454998,Student,759,750+
C1288,25,221141,Business Owner,717,700-749
C1289,68,462277,Retired,730,700-749
C1290,56,207089,Student,592,Below 600
C1291,37,184215,Self-Employed,796,750+
C1292,33,72474,Student,716,700-749
C1293,21,279743,Contractor,594,Below 600
C1294,24,284282,Retired,705,700-749
C1295,28,362312,Student,619,600-649
C1296,32,378263,Student,677,650-699
C1297,43,39254,Contractor,625,600-649
C1298,68,437595,Contractor,647,600-649
C1299,59,452940,Student,727,700-749
C1300,22,111827,Contractor,779,750+
C1301,37,407995,Retired,594,Below 600
C1302,58,496493,Retired,577,Below 600
C1303,38,377440,Self-Employed,769,750+
C1304,43,27643,Business Owner,767,750+
C1305,56,465606,Student,730,700-749
C1306,39,265506,Business Owner,688,650-699
C1307,51,48277,Self-Employed,721,700-749
C1308,37,170596,Student,651,650-699
C1309,21,309537,Business Owner,652,650-699
C1310,58,467997,Contractor,657,650-699
C1311,39,42321,Retired,715,700-749
C1312,53,79956,Self-Employed,657,650-699
C1313,52,43171,Student,745,700-749
C1314,34,305025,Student,753,750+
C1315,30,68354,Salaried,561,Below 600
C1316,36,181159,Salaried,713,700-749
C1317,24,118072,Retired,814,750+
C1318,46,224210,Business Owner,578,Below 600
C1319,23,394077,Salaried,619,600-649
C1320,29,69017,Retired,696,650-699
C1321,56,325593,Retired,700,700-749
C1322,30,170110,Self-Employed,583,Below 600
C1323,43,104486,Business Owner,786,750+
C1324,53,392747,Student,570,Below 600
C1325,46,128441,Business Owner,704,700-749
C1326,23,114099,Salaried,728,700-749
C1327,49,452328,Self-Employed,818,750+
C1328,68,86789,Contractor,696,650-699
C1329,35,373070,Contractor,798,750+
C1330,35,191778,Self-Employed,762,750+
C1331,36,76737,Contractor,667,650-699
C1332,48,98527,Self-Employed,651,650-699
C1333,64,424332,Retired,704,700-749
C1334,68,209121,Student,781,750+
C1335,61,384758,Contractor,601,600-649
C1336,63,428220,Self-Employed,603,600-649
C1337,38,337008,Student,755,750+
C1338,41,99617,Retired,650,650-699
C1339,48,396476,Student,718,700-749
C1340,70,415346,Business Owner,627,600-649
C1341,35,426243,Salaried,776,750+
C1342,57,195247,Student,760,750+
C1343,36,476885,Contractor,785,750+
C1344,25,140207,Student,791,750+
C1345,44,224562,Contractor,777,750+
C1346,21,414679,Business Owner,633,600-649
C1347,66,299919,Retired,622,600-649
C1348,54,217167,Business Owner,724,700-749
C1349,22,480379,Business Owner,756,750+
C1350,58,285884,Self-Employed,568,Below 600
C1351,28,369288,Business Owner,582,Below 600
C1352,65,324566,Contractor,592,Below 600
C1353,37,117043,Student,802,750+
C1354,42,104238,Self-Employed,654,650-699
C1355,54,241246,Business Owner,629,600-649
C1356,70,32996,Self-Employed,590,Below 600
C1357,39,403777,Student,620,600-649
C1358,26,499769,Contractor,730,700-749
C1359,61,399348,Student,750,750+
C1360,62,341393,Salaried,763,750+
C1361,32,89919,Business Owner,627,600-649
C1362,66,480539,Business Owner,818,750+
C1363,45,424306,Self-Employed,672,650-699
C1364,51,192277,Student,710,700-749
C1365,40,247753,Retired,677,650-699
C1366,53,449306,Salaried,770,750+
C1367,62,330565,Contractor,778,750+
C1368,55,142722,Student,735,700-749
C1369,30,306425,Retired,561,Below 600
C1370,70,450755,Self-Employed,756,750+
C1371,22,122221,Student,819,750+
C1372,55,269899,Self-Employed,766,750+
C1373,60,192816,Contractor,566,Below 600
C1374,35,343150,Business Owner,691,650-699
C1375,59,163100,Contractor,757,750+
C1376,30,323868,Retired,638,600-649
C1377,64,446123,Salaried,794,750+
C1378,28,357691,Contractor,651,650-699
C1379,56,309964,Retired,720,700-749
C1380,33,306657,Student,773,750+
C1381,54,31779,Salaried,692,650-699
C1382,70,303872,Self-Employed,673,650-699
C1383,49,274286,Retired,685,650-699
C1384,25,251641,Student,816,750+
C1385,36,152303,Student,795,750+
C1386,66,348031,Retired,589,Below 600
C1387,63,208984,Business Owner,640,600-649
C1388,23,297115,Retired,756,750+
C1389,32,291560,Self-Employed,587,Below 600
C1390,39,151930,Salaried,805,750+
C1391,38,83101,Business Owner,715,700-749
C1392,66,267855,Retired,713,700-749
C1393,58,81629,Salaried,796,750+
C1394,42,209757,Self-Employed,756,750+
C1395,35,345403,Contractor,730,700-749
C1396,47,413828,Business Owner,633,600-649
C1397,59,408396,Student,808,750+
C1398,27,187763,Student,658,650-699
C1399,68,466779,Retired,566,Below 600
C1400,57,334707,Self-Employed,703,700-749
C1401,35,478154,Self-Employed,738,700-749
C1402,61,120002,Student,590,Below 600
C1403,28,480154,Student,709,700-749
C1404,64,335221,Student,655,650-699
C1405,40,449159,Salaried,707,700-749
C1406,64,456654,Student,762,750+
C1407,47,132289,Contractor,599,Below 600
C1408,66,147926,Salaried,673,650-699
C1409,24,242623,Retired,698,650-699
C1410,61,114111,Retired,644,600-649
C1411,30,397813,Student,660,650-699
C1412,32,315779,Self-Employed,562,Below 600
C1413,54,335185,Self-Employed,577,Below 600
C1414,60,164643,Business Owner,691,650-699
C1415,63,420092,Self-Employed,606,600-649
C1416,51,309958,Business Owner,734,700-749
C1417,48,87840,Retired,794,750+
C1418,69,262456,Retired,578,Below 600
C1419,30,487707,Retired,711,700-749
C1420,56,428147,Salaried,802,750+
C1421,42,118556,Business Owner,663,650-699
C1422,63,105075,Student,572,Below 600
C1423,24,403022,Business Owner,743,700-749
C1424,48,104487,Business Owner,686,650-699
C1425,36,391006,Retired,660,650-699
C1426,62,465623,Self-Employed,623,600-649
C1427,27,186566,Salaried,569,Below 600
C1428,59,104243,Student,809,750+
C1429,49,63561,Contractor,700,700-749
C1430,57,368331,Salaried,819,750+
C1431,26,427285,Contractor,681,650-699
C1432,27,114677,Self-Employed,592,Below 600
C1433,24,441884,Self-Employed,577,Below 600
C1434,30,69343,Business Owner,668,650-699
C1435,59,481164,Contractor,667,650-699
C1436,55,89970,Salaried,570,Below 600
C1437,39,355379,Retired,728,700-749
C1438,57,238165,Salaried,597,Below 600
C1439,36,208659,Self-Employed,683,650-699
C1440,51,271082,Business Owner,767,750+
C1441,26,333723,Business Owner,586,Below 600
C1442,41,175290,Salaried,645,600-649
C1443,46,441292,Salaried,681,650-699
C1444,32,441639,Salaried,768,750+
C1445,61,62968,Student,667,650-699
C1446,47,234801,Retired,582,Below 600
C1447,64,106167,Salaried,721,700-749
C1448,41,107388,Business Owner,767,750+
C1449,70,282682,Retired,772,750+
C1450,68,347560,Retired,638,600-649
C1451,48,461550,Contractor,652,650-699
C1452,32,373583,Retired,750,750+
C1453,68,44052,Retired,609,600-649
C1454,60,437708,Salaried,758,750+
C1455,54,97346,Retired,685,650-699
C1456,21,234089,Salaried,812,750+
C1457,70,416851,Self-Employed,727,700-749
C1458,23,206906,Student,737,700-749
C1459,21,159487,Salaried,765,750+
C1460,41,206478,Business Owner,654,650-699
C1461,57,402957,Salaried,799,750+
C1462,21,173815,Self-Employed,696,650-699
C1463,59,408649,Business Owner,742,700-749
C1464,52,474115,Self-Employed,730,700-749
C1465,37,97587,Business Owner,677,650-699
C1466,47,363954,Retired,680,650-699
C1467,35,186104,Business Owner,565,Below 600
C1468,69,128011,Student,798,750+
C1469,23,442824,Self-Employed,642,600-649
C1470,41,302787,Salaried,646,600-649
C1471,51,407182,Retired,650,650-699
C1472,28,287689,Salaried,757,750+
C1473,54,427627,Retired,760,750+
C1474,66,490261,Retired,621,600-649
C1475,42,33041,Contractor,574,Below 600
C1476,43,118140,Retired,637,600-649
C1477,25,90689,Business Owner,643,600-649
C1478,21,202837,Student,735,700-749
C1479,58,200848,Business Owner,800,750+
C1480,31,348902,Contractor,626,600-649
C1481,21,85791,Student,621,600-649
C1482,54,248669,Student,789,750+
C1483,61,247747,Contractor,793,750+
C1484,36,69702,Retired,671,650-699
C1485,53,466110,Self-Employed,579,Below 600
C1486,30,149968,Student,757,750+
C1487,22,272298,Business Owner,603,600-649
C1488,54,355533,Salaried,770,750+
C1489,70,340326,Business Owner,725,700-749
C1490,47,215358,Self-Employed,625,600-649
C1491,69,187146,Self-Employed,787,750+
C1492,37,314863,Contractor,805,750+
C1493,52,233922,Contractor,673,650-699
C1494,30,465397,Retired,799,750+
C1495,68,228295,Retired,668,650-699
C1496,24,235384,Salaried,610,600-649
C1497,62,311414,Contractor,655,650-699
C1498,65,92636,Student,583,Below 600
C1499,22,93627,Business Owner,753,750+
C1500,50,108837,Contractor,681,650-699
